Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,Present in 1700?,FSSB,MSSB,SSB
Connochaetes_taurinus,Cetartiodactyla,Bovidae,Connochaetes,taurinus,,Y,0,0,0
Damaliscus_hypsodon,Cetartiodactyla,Bovidae,Damaliscus,hypsodon,,,,,
Damaliscus_lunatus,Cetartiodactyla,Bovidae,Damaliscus,lunatus,,Y,0,0,0
Damaliscus_niro,Cetartiodactyla,Bovidae,Damaliscus,niro,,,,,
Damaliscus_pygargus,Cetartiodactyla,Bovidae,Damaliscus,pygargus,,Y,0,0,0
Dorcatragus_megalotis,Cetartiodactyla,Bovidae,Dorcatragus,megalotis,,,,,
Euceratherium_collinum,Cetartiodactyla,Bovidae,Euceratherium,collinum,,,,,
Eudorcas_albonotata,Cetartiodactyla,Bovidae,Eudorcas,albonotata,,,,,
Eudorcas_rufifrons,Cetartiodactyla,Bovidae,Eudorcas,rufifrons,,Y,0,0,0
Eudorcas_rufina,Cetartiodactyla,Bovidae,Eudorcas,rufina,,,,,
Eudorcas_thomsonii,Cetartiodactyla,Bovidae,Eudorcas,thomsonii,,Y,1,1,1
Gazella_atlantica,Cetartiodactyla,Bovidae,Gazella,atlantica,,,,,
Gazella_bennettii,Cetartiodactyla,Bovidae,Gazella,bennettii,,Y,0,0,0
Gazella_bilkis,Cetartiodactyla,Bovidae,Gazella,bilkis,,,,,
Gazella_cuvieri,Cetartiodactyla,Bovidae,Gazella,cuvieri,,Y,0,0,0
Gazella_dorcas,Cetartiodactyla,Bovidae,Gazella,dorcas,,Y,0,0,0
Gazella_gazella,Cetartiodactyla,Bovidae,Gazella,gazella,,Y,0,0,0
Gazella_leptoceros,Cetartiodactyla,Bovidae,Gazella,leptoceros,,,,,
Gazella_marica,Cetartiodactyla,Bovidae,Gazella,marica,,,,,
Gazella_saudiya,Cetartiodactyla,Bovidae,Gazella,saudiya,,,,,
Gazella_spekei,Cetartiodactyla,Bovidae,Gazella,spekei,,,,,
Gazella_subgutturosa,Cetartiodactyla,Bovidae,Gazella,subgutturosa,,Y,0,0,0
Gazella_tingitana,Cetartiodactyla,Bovidae,Gazella,tingitana,,,,,
Hemitragus_cedrensis,Cetartiodactyla,Bovidae,Hemitragus,cedrensis,,,,,
Hemitragus_jemlahicus,Cetartiodactyla,Bovidae,Hemitragus,jemlahicus,,Y,0,0,1
Hippotragus_equinus,Cetartiodactyla,Bovidae,Hippotragus,equinus,,Y,1,0,1
Hippotragus_leucophaeus,Cetartiodactyla,Bovidae,Hippotragus,leucophaeus,,,,,
Hippotragus_niger,Cetartiodactyla,Bovidae,Hippotragus,niger,,Y,0,0,0
Kobus_ellipsiprymnus,Cetartiodactyla,Bovidae,Kobus,ellipsiprymnus,,Y,1,0,1
Kobus_kob,Cetartiodactyla,Bovidae,Kobus,kob,,Y,1,0,1
Kobus_leche,Cetartiodactyla,Bovidae,Kobus,leche,,Y,1,0,1
Kobus_megaceros,Cetartiodactyla,Bovidae,Kobus,megaceros,,Y,0,0,0
Kobus_vardonii,Cetartiodactyla,Bovidae,Kobus,vardonii,,Y,1,0,1
Litocranius_walleri,Cetartiodactyla,Bovidae,Litocranius,walleri,,Y,0,0,0
Madoqua_guentheri,Cetartiodactyla,Bovidae,Madoqua,guentheri,,Y,0,0,0
Madoqua_kirkii,Cetartiodactyla,Bovidae,Madoqua,kirkii,,Y,0,0,0
Madoqua_piacentinii,Cetartiodactyla,Bovidae,Madoqua,piacentinii,,,,,
Madoqua_saltiana,Cetartiodactyla,Bovidae,Madoqua,saltiana,,,,,
Megalotragus_priscus,Cetartiodactyla,Bovidae,Megalotragus,priscus,,,,,
Megalovis_guangxiensis,Cetartiodactyla,Bovidae,Megalovis,guangxiensis,,,,,
Myotragus_balearicus,Cetartiodactyla,Bovidae,Myotragus,balearicus,,,,,
Naemorhedus_baileyi,Cetartiodactyla,Bovidae,Naemorhedus,baileyi,,Y,0,0,0
Naemorhedus_caudatus,Cetartiodactyla,Bovidae,Naemorhedus,caudatus,,,,,
Naemorhedus_goral,Cetartiodactyla,Bovidae,Naemorhedus,goral,,Y,0,0,0
Naemorhedus_griseus,Cetartiodactyla,Bovidae,Naemorhedus,griseus,,,,,
Nanger_dama,Cetartiodactyla,Bovidae,Nanger,dama,,Y,0,0,0
Nanger_granti,Cetartiodactyla,Bovidae,Nanger,granti,,Y,1,1,1
Nanger_soemmerringii,Cetartiodactyla,Bovidae,Nanger,soemmerringii,,Y,0,0,0
Neotragus_batesi,Cetartiodactyla,Bovidae,Neotragus,batesi,,Y,0,0,0
Neotragus_pygmaeus,Cetartiodactyla,Bovidae,Neotragus,pygmaeus,,,,,
Nesotragus_moschatus,Cetartiodactyla,Bovidae,Nesotragus,moschatus,,Y,0,0,0
Nilgiritragus_hylocrius,Cetartiodactyla,Bovidae,Nilgiritragus,hylocrius,,Y,0,0,0
Oreamnos_americanus,Cetartiodactyla,Bovidae,Oreamnos,americanus,,Y,0,0,0
Oreamnos_harringtoni,Cetartiodactyla,Bovidae,Oreamnos,harringtoni,,,,,
Oreotragus_oreotragus,Cetartiodactyla,Bovidae,Oreotragus,oreotragus,,Y,0,0,0
Oryx_beisa,Cetartiodactyla,Bovidae,Oryx,beisa,,Y,0,0,0
Oryx_dammah,Cetartiodactyla,Bovidae,Oryx,dammah,,Y,0,0,0
Oryx_gazella,Cetartiodactyla,Bovidae,Oryx,gazella,,Y,0,0,0
Oryx_leucoryx,Cetartiodactyla,Bovidae,Oryx,leucoryx,,Y,0,0,0
Ourebia_ourebi,Cetartiodactyla,Bovidae,Ourebia,ourebi,,Y,0,0,0
Ovibos_moschatus,Cetartiodactyla,Bovidae,Ovibos,moschatus,,Y,1,1,1
Ovis_ammon,Cetartiodactyla,Bovidae,Ovis,ammon,,Y,0,1,1
Ovis_canadensis,Cetartiodactyla,Bovidae,Ovis,canadensis,,Y,1,1,1
Ovis_dalli,Cetartiodactyla,Bovidae,Ovis,dalli,,Y,1,1,1
Ovis_nivicola,Cetartiodactyla,Bovidae,Ovis,nivicola,,,,,
Ovis_orientalis,Cetartiodactyla,Bovidae,Ovis,orientalis,,Y,1,1,1
Pantholops_hodgsonii,Cetartiodactyla,Bovidae,Pantholops,hodgsonii,,Y,0,0,0
Pelea_capreolus,Cetartiodactyla,Bovidae,Pelea,capreolus,,Y,0,0,0
Pelorovis_antiquus,Cetartiodactyla,Bovidae,Pelorovis,antiquus,,,,,
Philantomba_maxwellii,Cetartiodactyla,Bovidae,Philantomba,maxwellii,,Y,0,0,0
Philantomba_monticola,Cetartiodactyla,Bovidae,Philantomba,monticola,,Y,0,0,0
Philantomba_walteri,Cetartiodactyla,Bovidae,Philantomba,walteri,,,,,
Procapra_gutturosa,Cetartiodactyla,Bovidae,Procapra,gutturosa,,Y,0,0,0
Procapra_picticaudata,Cetartiodactyla,Bovidae,Procapra,picticaudata,,,,,
Procapra_przewalskii,Cetartiodactyla,Bovidae,Procapra,przewalskii,,,,,
Pseudois_nayaur,Cetartiodactyla,Bovidae,Pseudois,nayaur,,Y,0,1,1
Pseudoryx_nghetinhensis,Cetartiodactyla,Bovidae,Pseudoryx,nghetinhensis,,,,,
Raphicerus_campestris,Cetartiodactyla,Bovidae,Raphicerus,campestris,,Y,0,0,0
Raphicerus_melanotis,Cetartiodactyla,Bovidae,Raphicerus,melanotis,,Y,0,0,0
Raphicerus_sharpei,Cetartiodactyla,Bovidae,Raphicerus,sharpei,,Y,0,0,0
Redunca_arundinum,Cetartiodactyla,Bovidae,Redunca,arundinum,,Y,0,0,0
Redunca_fulvorufula,Cetartiodactyla,Bovidae,Redunca,fulvorufula,,Y,0,0,0
Redunca_redunca,Cetartiodactyla,Bovidae,Redunca,redunca,,Y,0,0,0
Rupicapra_pyrenaica,Cetartiodactyla,Bovidae,Rupicapra,pyrenaica,,Y,0,1,1
Rupicapra_rupicapra,Cetartiodactyla,Bovidae,Rupicapra,rupicapra,,Y,0,0,0
Rusingoryx_atopocranion,Cetartiodactyla,Bovidae,Rusingoryx,atopocranion,,,,,
Saiga_tatarica,Cetartiodactyla,Bovidae,Saiga,tatarica,,Y,0,0,0
Sivacobus_sankaliai,Cetartiodactyla,Bovidae,Sivacobus,sankaliai,,,,,
Soergelia_minor,Cetartiodactyla,Bovidae,Soergelia,minor,,,,,
Spirocerus_kiakhtensis,Cetartiodactyla,Bovidae,Spirocerus,kiakhtensis,,,,,
Sylvicapra_grimmia,Cetartiodactyla,Bovidae,Sylvicapra,grimmia,,Y,0,0,0
Syncerus_caffer,Cetartiodactyla,Bovidae,Syncerus,caffer,,Y,1,1,1
Tetracerus_quadricornis,Cetartiodactyla,Bovidae,Tetracerus,quadricornis,,Y,0,0,0
Tragelaphus_angasii,Cetartiodactyla,Bovidae,Tragelaphus,angasii,,Y,0,0,0
Tragelaphus_buxtoni,Cetartiodactyla,Bovidae,Tragelaphus,buxtoni,,Y,0,0,0
Tragelaphus_derbianus,Cetartiodactyla,Bovidae,Tragelaphus,derbianus,,Y,0,0,0
Tragelaphus_eurycerus,Cetartiodactyla,Bovidae,Tragelaphus,eurycerus,,Y,0,0,0
Tragelaphus_imberbis,Cetartiodactyla,Bovidae,Tragelaphus,imberbis,,Y,0,0,0
Tragelaphus_oryx,Cetartiodactyla,Bovidae,Tragelaphus,oryx,,Y,0,0,0
Tragelaphus_scriptus,Cetartiodactyla,Bovidae,Tragelaphus,scriptus,,Y,0,0,0
Tragelaphus_spekii,Cetartiodactyla,Bovidae,Tragelaphus,spekii,,Y,0,0,0
Tragelaphus_strepsiceros,Cetartiodactyla,Bovidae,Tragelaphus,strepsiceros,,Y,0,0,0
Bradypus_pygmaeus,Pilosa,Bradypodidae,Bradypus,pygmaeus,,,,,
Bradypus_torquatus,Pilosa,Bradypodidae,Bradypus,torquatus,,,,,
Bradypus_tridactylus,Pilosa,Bradypodidae,Bradypus,tridactylus,,Y,0,0,0
Bradypus_variegatus,Pilosa,Bradypodidae,Bradypus,variegatus,,Y,0,0,0
Burramys_parvus,Diprotodontia,Burramyidae,Burramys,parvus,,Y,0,0,0
Cercartetus_caudatus,Diprotodontia,Burramyidae,Cercartetus,caudatus,,Y,0,0,0
Cercartetus_concinnus,Diprotodontia,Burramyidae,Cercartetus,concinnus,,,,,
Cercartetus_lepidus,Diprotodontia,Burramyidae,Cercartetus,lepidus,,,,,
Cercartetus_nanus,Diprotodontia,Burramyidae,Cercartetus,nanus,,Y,0,0,0
Caenolestes_caniventer,Paucituberculata,Caenolestidae,Caenolestes,caniventer,,,,,
Caenolestes_condorensis,Paucituberculata,Caenolestidae,Caenolestes,condorensis,,,,,
Caenolestes_convelatus,Paucituberculata,Caenolestidae,Caenolestes,convelatus,,,,,
Caenolestes_fuliginosus,Paucituberculata,Caenolestidae,Caenolestes,fuliginosus,,,,,
Caenolestes_sangay,Paucituberculata,Caenolestidae,Caenolestes,sangay,,,,,
Lestoros_inca,Paucituberculata,Caenolestidae,Lestoros,inca,,,,,
Rhyncholestes_raphanurus,Paucituberculata,Caenolestidae,Rhyncholestes,raphanurus,,,,,
Callimico_goeldii,Primates,Callitrichidae,Callimico,goeldii,,Y,0,0,0
Callithrix_aurita,Primates,Callitrichidae,Callithrix,aurita,,Y,0,0,0
Callithrix_flaviceps,Primates,Callitrichidae,Callithrix,flaviceps,,Y,0,0,0
Callithrix_geoffroyi,Primates,Callitrichidae,Callithrix,geoffroyi,,Y,0,0,0
Callithrix_jacchus,Primates,Callitrichidae,Callithrix,jacchus,,Y,0,1,1
Callithrix_kuhlii,Primates,Callitrichidae,Callithrix,kuhlii,,Y,0,0,0
Callithrix_penicillata,Primates,Callitrichidae,Callithrix,penicillata,,,,,
Cebuella_pygmaea,Primates,Callitrichidae,Cebuella,pygmaea,,Y,0,0,0
Leontopithecus_caissara,Primates,Callitrichidae,Leontopithecus,caissara,,,,,
Leontopithecus_chrysomelas,Primates,Callitrichidae,Leontopithecus,chrysomelas,,Y,0,0,0
Leontopithecus_chrysopygus,Primates,Callitrichidae,Leontopithecus,chrysopygus,,,,,
Leontopithecus_rosalia,Primates,Callitrichidae,Leontopithecus,rosalia,,Y,1,1,1
Mico_acariensis,Primates,Callitrichidae,Mico,acariensis,,,,,
Mico_argentatus,Primates,Callitrichidae,Mico,argentatus,,Y,0,0,0
Mico_chrysoleucos,Primates,Callitrichidae,Mico,chrysoleucos,,,,,
Mico_emiliae,Primates,Callitrichidae,Mico,emiliae,,,,,
Mico_humeralifer,Primates,Callitrichidae,Mico,humeralifer,,Y,0,0,0
Mico_humilis,Primates,Callitrichidae,Mico,humilis,,,,,
Mico_intermedius,Primates,Callitrichidae,Mico,intermedius,,Y,0,0,0
Mico_leucippe,Primates,Callitrichidae,Mico,leucippe,,,,,
Mico_marcai,Primates,Callitrichidae,Mico,marcai,,,,,
Mico_mauesi,Primates,Callitrichidae,Mico,mauesi,,,,,
Mico_melanurus,Primates,Callitrichidae,Mico,melanurus,,,,,
Mico_nigriceps,Primates,Callitrichidae,Mico,nigriceps,,,,,
Mico_rondoni,Primates,Callitrichidae,Mico,rondoni,,,,,
Mico_saterei,Primates,Callitrichidae,Mico,saterei,,,,,
Saguinus_bicolor,Primates,Callitrichidae,Saguinus,bicolor,,,,,
Saguinus_fuscicollis,Primates,Callitrichidae,Saguinus,fuscicollis,,Y,1,1,1
Saguinus_geoffroyi,Primates,Callitrichidae,Saguinus,geoffroyi,,Y,1,1,1
Saguinus_imperator,Primates,Callitrichidae,Saguinus,imperator,,Y,0,0,0
Saguinus_inustus,Primates,Callitrichidae,Saguinus,inustus,,,,,
Saguinus_labiatus,Primates,Callitrichidae,Saguinus,labiatus,,Y,0,0,0
Saguinus_leucopus,Primates,Callitrichidae,Saguinus,leucopus,,Y,0,0,0
Saguinus_martinsi,Primates,Callitrichidae,Saguinus,martinsi,,,,,
Saguinus_melanoleucus,Primates,Callitrichidae,Saguinus,melanoleucus,,,,,
Saguinus_midas,Primates,Callitrichidae,Saguinus,midas,,Y,1,0,1
